"","AGEP","Major","Major_Category","BSc","Wages.mn","Wages.md","Wages.sd","Wages.n","Earnings.mn","Earnings.md","Earnings.sd","Earnings.n"
"82",57,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,87199.1029411765,70589.75,86632.9795003066,17,94530.9458823529,80674,82089.6203198746,17
"83",58,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,57393.7885714286,60505.5,46942.3526715862,7,64596.8242857143,63530.775,42690.5285824878,7
"84",59,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,194020.97,85716.125,181595.756106804,5,194020.97,85716.125,181595.756106804,5
"85",60,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,60379.446875,55967.5875,31071.5901462032,8,60442.4734375,55967.5875,31130.7807955823,8
"86",61,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,26795.2928571429,3025.275,44101.955029985,7,122451.607142857,80674,119805.894024681,7
"87",62,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,35664.6308333333,30252.75,34555.3469840266,3,51799.4308333333,30252.75,58470.420166951,3
"88",63,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,25815.68,0,33892.6826868869,10,72717.52675,56471.8,70644.702978906,10
"89",64,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,26962.4032857143,161.348,61704.9837443929,7,39221.9700714286,14783.5105,57740.2313177874,7
"90",21,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,8067.4,8067.4,NA,1,8067.4,8067.4,NA,1
"91",22,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,11740.9482142857,11596.8875,6954.44301079813,7,11740.9482142857,11596.8875,6954.44301079813,7
"92",23,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,32177.925,25210.625,20668.799172288,11,34011.425,25210.625,18286.1179013446,11
"93",24,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,34316.3292592593,38320.15,13923.4810354698,27,37528.3496296296,40337,13551.9051365554,27
"94",25,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,31711.3647321429,32269.6,19220.5926912132,28,40704.3548214286,37563.83125,18451.1712523749,28
"95",26,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,38715.7628846154,36807.5125,22234.6882177419,26,40554.1992307692,36807.5125,20597.3948474914,26
"96",27,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,38900.8637068966,38824.3625,22036.1655574107,29,42677.2414655172,42152.165,18626.7819966506,29
"97",28,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,43588.4066666667,45379.125,24165.0124170336,33,55866.7755583333,45379.125,62871.4748877294,33
"98",29,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,44789.5842307692,45379.125,20336.6235731018,26,50258.3505769231,45379.125,21466.5441317617,26
"99",30,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,50233.0106666667,45379.125,31959.39549636,30,53897.08929,46639.65625,33204.0691618812,30
"100",31,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,47363.88875,45379.125,31231.0066204309,22,79624.1379,52942.3125,74083.2047002508,22
"101",32,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,66886.8134,49009.455,75427.2718474133,25,87172.2907,55463.375,89458.8650276976,25
"102",33,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,48194.3114583333,43866.4875,33346.3512709778,24,57690.3135416667,52942.3125,23883.5614377118,24
"103",34,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,76443.9225,50421.25,90344.9657384719,19,80811.995,50421.25,88228.3270684685,19
"104",35,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,52100.277625,51933.8875,30008.722550475,20,58781.14367125,59497.075,25257.8148468003,20
"105",36,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,56449.8777173913,56471.8,32022.4482419196,23,62184.7468478261,56471.8,31247.7255830026,23
"106",37,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,81198.381,65547.625,79522.4372780502,25,86462.3595,65547.625,79011.2302972844,25
"107",38,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,68495.3288461538,65547.625,73906.4345428474,26,82124.5805769231,65547.625,64660.9223472796,26
"108",39,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,101266.0385,60505.5,123548.273852661,15,103598.861666667,60505.5,132256.256416572,15
"109",40,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,86279.1622916667,65043.4125,89099.9217815378,24,91615.41125,65043.4125,85223.5785067405,24
"110",41,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,43775.72925,40337,27211.8212380918,20,48969.118,42858.0625,22383.6972421723,20
"111",42,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,102798.8445,68572.9,104754.230162556,15,110395.646166667,85716.125,102733.321827845,15
"112",43,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,84533.5175,63026.5625,92923.9955733465,22,88535.13125,63026.5625,90819.942920181,22
"113",44,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,75799.9458333333,60505.5,63563.2652370668,12,89408.6412083333,65547.625,65711.2005174861,12
"114",45,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,41786.6109375,28488.00625,54199.2002315695,8,83510.1953125,46135.44375,91734.9830964048,8
"115",46,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,55921.75,44874.9125,57556.1877027612,22,79445.6008375,52942.3125,79688.2516594708,22
"116",47,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,77114.8529411765,35294.875,96996.4619829901,17,90390.4714705882,50421.25,91628.3898564002,17
"117",48,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,60142.467,66556.05,40454.4220606571,20,70725.93779625,70589.75,33238.0703044256,20
"118",49,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,88495.8704347826,75631.875,102731.913927898,23,108373.286366304,75631.875,131088.748116706,23
"119",50,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,65792.5282142857,50118.7225,35024.0370465914,14,65792.5282142857,50118.7225,35024.0370465914,14
"120",51,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,69955.8828571429,62018.1375,45973.8262931812,14,76798.7667857143,62018.1375,65004.9428402884,14
"121",52,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,64897.0282258065,60505.5,57194.4122576563,31,89948.257016129,65547.625,88677.1908397348,31
"122",53,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,101455.958541667,79161.3625,93352.2766719558,12,120464.769791667,104371.9875,91526.8022094186,12
"123",54,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,71354.4722916667,59497.075,81126.9140360414,24,88119.5379166667,70589.75,76784.3651406555,24
"124",55,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,58181.9207291667,47900.1875,47317.1149188666,24,83211.8695833333,73110.8125,59002.2389956081,24
"125",56,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,75356.85,45379.125,98924.3028401302,22,110642.6033375,51480.09625,135824.569869712,22
"126",57,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,50980.925875,37967.20125,43850.3909256031,20,74124.279625,51933.8875,73332.6878591311,20
"127",58,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,79335.8975961539,71093.9625,76855.0778342687,26,86359.9655769231,71093.9625,71542.0395508115,26
"128",59,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,53561.7735714286,57984.4375,42062.4889781454,14,72289.6664285714,60505.5,39644.1346233221,14
"129",60,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,62134.4942307692,57480.225,46284.2879152942,13,77959.0096153846,58488.65,55596.7310896246,13
"130",61,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,74990.8048214286,52942.3125,81107.8872239269,14,83677.6658928571,66858.5775,76292.7708209302,14
"131",62,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,63412.1367647059,60505.5,30392.9373548351,17,67813.6152941176,60505.5,28120.6439398791,17
"132",63,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,38096.0555555556,25210.625,38679.3032141803,9,48404.5120472222,56471.8,37089.4547493178,9
"133",64,"AGRICULTURE PRODUCTION AND MANAGEMENT","Agriculture & Natural Resources",1,86944.57,55463.375,85327.0316990469,11,95745.37,70589.75,81558.4859694502,11
"134",21,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,2857.20416666667,4033.7,2487.22120021563,3,9647.26583333333,4537.9125,9289.74187760024,3
"135",22,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,15803.4603571429,12302.785,12776.2331234925,14,16379.7032142857,12302.785,12176.4786361613,14
"136",23,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,27811.5211458333,30252.75,20192.0084517711,24,28122.4521875,30252.75,19901.6573567562,24
"137",24,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,31727.5715625,29294.74625,13204.4323682319,16,32672.97,31815.80875,13626.5546485134,16
"138",25,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,30532.8680555556,29244.325,17833.4772401946,27,33558.1430555556,30252.75,16253.4676561288,27
"139",26,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,32575.4889166667,32269.6,13295.3809431852,30,35852.8701666667,32269.6,13447.7778183264,30
"140",27,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,38074.34640625,38320.15,18557.5397496249,16,60448.77609375,40589.10625,80850.8181674299,16
"141",28,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,37901.8403703704,40337,18169.7345425987,27,43205.4088888889,40337,19581.856153578,27
"142",29,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,39456.5674038462,38824.3625,23775.463366414,26,41108.8329807692,38824.3625,22400.6753309263,26
"143",30,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,51945.7513235294,40337,36682.1070892,17,53381.2739705882,40337,41827.5638948379,17
"144",31,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,39357.3871428571,40337,20637.735890078,21,40183.8154404762,40337,20032.6101277312,21
"145",32,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,38288.06375,37311.725,23641.8269070215,22,46969.68625,43362.275,27834.999310643,22
"146",33,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,45920.49,42353.85,24356.5479972729,19,49423.44,42858.0625,20177.6548340361,19
"147",34,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,45414.2006521739,39328.575,28046.1929900746,23,53460.1168152174,39328.575,56969.5258899393,23
"148",35,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,41103.403,39832.7875,27903.166185543,30,44874.9125,42858.0625,26708.2532884283,30
"149",36,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,49661.9652941176,55463.375,25489.1791267639,17,51122.4019705882,53244.84,23504.3809860655,17
"150",37,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,47956.2111111111,40337,42150.5071468853,27,55418.5561111111,40337,41579.6068845653,27
"151",38,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,49211.14,45379.125,17348.2971434367,10,48434.65275,45379.125,18665.644383491,10
"152",39,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,55994.125,36807.5125,55061.2141332946,19,57294.4625,41345.425,54291.6168211345,19
"153",40,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,53754.094625,53950.7375,38057.6115013568,20,98129.83675,68572.9,80156.8174577575,20
"154",41,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,47239.669125,50421.25,26382.997958509,20,52634.742875,50421.25,23338.5289903255,20
"155",42,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,48662.80890625,38320.15,34544.269572391,16,70533.02609375,53950.7375,63775.9305112173,16
"156",43,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,60564.8191176471,60505.5,24805.1811555437,17,62510.4861764706,60505.5,21014.8935666153,17
"157",44,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,61866.87375,49917.0375,27645.5626131668,16,62434.1758390625,50925.4625,27450.6469487515,16
"158",45,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,62797.375,56976.0125,56645.7613291003,22,70892.2775,67463.6325,51143.0144479477,22
"159",46,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,74682.7691176471,80674,28187.3967402897,17,74178.5566176471,79161.3625,28015.5061649537,17
"160",47,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,98018.91,60001.2875,132941.203166866,10,104876.2,67060.2625,129034.624130708,10
"161",48,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,69622.57875,52942.3125,70357.606555494,22,71272.72875,52942.3125,69060.7095859098,22
"162",49,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,90375.0485,60505.5,122844.426708845,15,101602.180166667,60505.5,115498.715360616,15
"163",50,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,57211.3116666667,60505.5,33256.7711834559,18,63894.9284722222,63026.5625,33768.6469501421,18
"164",51,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,69017.7933823529,62522.35,46479.2186846461,17,71526.9920588235,62522.35,45179.0685982058,17
"165",52,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,80789.968875,57984.4375,90351.7361697065,20,81949.657625,60505.5,89932.3264292471,20
"166",53,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,64628.8377777778,54454.95,34192.0635257546,27,67691.4618518519,54858.32,32483.6240887454,27
"167",54,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,54877.5280952381,50421.25,48551.1095922484,21,67598.0891666667,52438.1,39639.9968539194,21
"168",55,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,64703.0690625,50421.25,46567.23931453,24,72686.4336458333,60505.5,42996.1359483456,24
"169",56,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,44543.5728571429,48404.4,24779.038775548,21,57533.0472619048,60505.5,28122.126068786,21
"170",57,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,51093.5333333333,45883.3375,47152.3931198993,18,57973.2327777778,52942.3125,42651.1238430053,18
"171",58,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,77468.0488541667,64034.9875,91684.9044895083,24,84758.12125,68572.9,87072.3810731316,24
"172",59,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,50192.6736666667,56471.8,37116.5273846885,15,88411.9811666667,80674,70766.4196975193,15
"173",60,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,91691.043125,68068.6875,103410.534205632,20,94902.87675,68068.6875,101427.59398726,20
"174",61,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,66585.7095588235,72606.6,49594.954649391,17,89399.8422058823,85716.125,78555.936278714,17
"175",62,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,36683.3986538462,27731.6875,44827.4527879893,13,80154.2732692308,60505.5,83281.9234886804,13
"176",63,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,50219.565,36303.3,67432.713732507,15,51127.1475,36303.3,67081.2292631289,15
"177",64,"ANIMAL SCIENCES","Agriculture & Natural Resources",1,42996.7209375,47446.39625,38057.9700926981,8,46778.3146875,47446.39625,33660.8768121628,8
"178",21,"FOOD SCIENCE","Agriculture & Natural Resources",1,1411.795,1411.795,NA,1,1411.795,1411.795,NA,1
"179",22,"FOOD SCIENCE","Agriculture & Natural Resources",1,37311.725,37311.725,NA,1,37311.725,37311.725,NA,1
